+-----+-------+--------+-----+---------+---------+---------+
| No  |SF,Ch/s| BW,kHz | CR  |  bit/s  | Byte/s  |Tframe,s |
|  25 |    32 | 500.00 | 4/5 | 62500.0 |  7812.5 |     0.1 |
|  26 |    32 | 500.00 | 4/6 | 52083.3 |  6510.4 |     0.1 |
|  27 |    32 | 500.00 | 4/7 | 44642.9 |  5580.4 |     0.1 |
|  28 |    32 | 500.00 | 4/8 | 39062.5 |  4882.8 |     0.1 |
|  29 |    32 |  10.42 | 4/5 |  1302.5 |   162.8 |     6.6 |
|  30 |    32 |  10.42 | 4/6 |  1085.4 |   135.7 |     6.6 |
|  31 |    32 |  10.42 | 4/7 |   930.4 |   116.3 |     6.6 |
|  32 |    32 |  10.42 | 4/8 |   814.1 |   101.8 |     6.6 |
|  33 |    32 |  20.83 | 4/5 |  2603.8 |   325.5 |     3.3 |
|  34 |    32 |  20.83 | 4/6 |  2169.8 |   271.2 |     3.3 |
|  35 |    32 |  20.83 | 4/7 |  1859.8 |   232.5 |     3.3 |
|  36 |    32 |  20.83 | 4/8 |  1627.3 |   203.4 |     3.3 |
|  37 |    32 |  41.67 | 4/5 |  5208.8 |   651.1 |     1.7 |
|  38 |    32 |  41.67 | 4/6 |  4340.6 |   542.6 |     1.7 |
|  39 |    32 |  41.67 | 4/7 |  3720.5 |   465.1 |     1.7 |
|  40 |    32 |  41.67 | 4/8 |  3255.5 |   406.9 |     1.7 |
|  41 |    64 |   7.81 | 4/5 |   585.8 |    73.2 |    17.6 |
|  42 |    64 |   7.81 | 4/6 |   488.1 |    61.0 |    17.6 |
|  43 |    64 |   7.81 | 4/7 |   418.4 |    52.3 |    17.6 |
|  44 |    64 |   7.81 | 4/8 |   366.1 |    45.8 |    17.6 |
|  45 |    64 |  15.63 | 4/5 |  1172.3 |   146.5 |     8.8 |
|  46 |    64 |  15.63 | 4/6 |   976.9 |   122.1 |     8.8 |
|  47 |    64 |  15.63 | 4/7 |   837.3 |   104.7 |     8.8 |
|  48 |    64 |  15.63 | 4/8 |   732.7 |    91.6 |     8.8 |
|  49 |    64 |  31.25 | 4/5 |  2343.8 |   293.0 |     4.4 |
|  50 |    64 |  31.25 | 4/6 |  1953.1 |   244.1 |     4.4 |
|  51 |    64 |  31.25 | 4/7 |  1674.1 |   209.3 |     4.4 |
|  52 |    64 |  31.25 | 4/8 |  1464.8 |   183.1 |     4.4 |
|  53 |    64 |  62.50 | 4/5 |  4687.5 |   585.9 |     2.2 |
|  54 |    64 |  62.50 | 4/6 |  3906.3 |   488.3 |     2.2 |
|  55 |    64 |  62.50 | 4/7 |  3348.2 |   418.5 |     2.2 |
|  56 |    64 |  62.50 | 4/8 |  2929.7 |   366.2 |     2.2 |
|  57 |    64 | 125.00 | 4/5 |  9375.0 |  1171.9 |     1.1 |
|  58 |    64 | 125.00 | 4/6 |  7812.5 |   976.6 |     1.1 |
|  59 |    64 | 125.00 | 4/7 |  6696.4 |   837.1 |     1.1 |
|  60 |    64 | 125.00 | 4/8 |  5859.4 |   732.4 |     1.1 |
|  61 |    64 | 250.00 | 4/5 | 18750.0 |  2343.8 |     0.5 |
|  62 |    64 | 250.00 | 4/6 | 15625.0 |  1953.1 |     0.5 |
|  63 |    64 | 250.00 | 4/7 | 13392.9 |  1674.1 |     0.5 |
|  64 |    64 | 250.00 | 4/8 | 11718.8 |  1464.8 |     0.5 |
|  65 |    64 | 500.00 | 4/5 | 37500.0 |  4687.5 |     0.3 |
|  66 |    64 | 500.00 | 4/6 | 31250.0 |  3906.3 |     0.3 |
|  67 |    64 | 500.00 | 4/7 | 26785.7 |  3348.2 |     0.3 |
|  68 |    64 | 500.00 | 4/8 | 23437.5 |  2929.7 |     0.3 |
|  69 |    64 |  10.42 | 4/5 |   781.5 |    97.7 |    13.2 |
|  70 |    64 |  10.42 | 4/6 |   651.3 |    81.4 |    13.2 |
|  71 |    64 |  10.42 | 4/7 |   558.2 |    69.8 |    13.2 |
|  72 |    64 |  10.42 | 4/8 |   488.4 |    61.1 |    13.2 |
|  73 |    64 |  20.83 | 4/5 |  1562.3 |   195.3 |     6.6 |
|  74 |    64 |  20.83 | 4/6 |  1301.9 |   162.7 |     6.6 |
|  75 |    64 |  20.83 | 4/7 |  1115.9 |   139.5 |     6.6 |
|  76 |    64 |  20.83 | 4/8 |   976.4 |   122.1 |     6.6 |
|  77 |    64 |  41.67 | 4/5 |  3125.3 |   390.7 |     3.3 |
|  78 |    64 |  41.67 | 4/6 |  2604.4 |   325.5 |     3.3 |
|  79 |    64 |  41.67 | 4/7 |  2232.3 |   279.0 |     3.3 |
|  80 |    64 |  41.67 | 4/8 |  1953.3 |   244.2 |     3.3 |
|  81 |   128 |   7.81 | 4/5 |   341.7 |    42.7 |    35.0 |
|  82 |   128 |   7.81 | 4/6 |   284.7 |    35.6 |    35.0 |
|  83 |   128 |   7.81 | 4/7 |   244.1 |    30.5 |    35.0 |
|  84 |   128 |   7.81 | 4/8 |   213.6 |    26.7 |    35.0 |
|  85 |   128 |  15.63 | 4/5 |   683.8 |    85.5 |    17.5 |
|  86 |   128 |  15.63 | 4/6 |   569.8 |    71.2 |    17.5 |
|  87 |   128 |  15.63 | 4/7 |   488.4 |    61.1 |    17.5 |
|  88 |   128 |  15.63 | 4/8 |   427.4 |    53.4 |    17.5 |
|  89 |   128 |  31.25 | 4/5 |  1367.2 |   170.9 |     8.7 |
|  90 |   128 |  31.25 | 4/6 |  1139.3 |   142.4 |     8.7 |
|  91 |   128 |  31.25 | 4/7 |   976.6 |   122.1 |     8.7 |
|  92 |   128 |  31.25 | 4/8 |   854.5 |   106.8 |     8.7 |
|  93 |   128 |  62.50 | 4/5 |  2734.4 |   341.8 |     4.4 |
|  94 |   128 |  62.50 | 4/6 |  2278.6 |   284.8 |     4.4 |
|  95 |   128 |  62.50 | 4/7 |  1953.1 |   244.1 |     4.4 |
|  96 |   128 |  62.50 | 4/8 |  1709.0 |   213.6 |     4.4 |
|  97 |   128 | 125.00 | 4/5 |  5468.8 |   683.6 |     2.2 |
|  98 |   128 | 125.00 | 4/6 |  4557.3 |   569.7 |     2.2 |
|  99 |   128 | 125.00 | 4/7 |  3906.3 |   488.3 |     2.2 |
| 100 |   128 | 125.00 | 4/8 |  3418.0 |   427.2 |     2.2 |
| 101 |   128 | 250.00 | 4/5 | 10937.5 |  1367.2 |     1.1 |
| 102 |   128 | 250.00 | 4/6 |  9114.6 |  1139.3 |     1.1 |
| 103 |   128 | 250.00 | 4/7 |  7812.5 |   976.6 |     1.1 |
| 104 |   128 | 250.00 | 4/8 |  6835.9 |   854.5 |     1.1 |
| 105 |   128 | 500.00 | 4/5 | 21875.0 |  2734.4 |     0.5 |
| 106 |   128 | 500.00 | 4/6 | 18229.2 |  2278.6 |     0.5 |
| 107 |   128 | 500.00 | 4/7 | 15625.0 |  1953.1 |     0.5 |
| 108 |   128 | 500.00 | 4/8 | 13671.9 |  1709.0 |     0.5 |
| 109 |   128 |  10.42 | 4/5 |   455.9 |    57.0 |    26.2 |
| 110 |   128 |  10.42 | 4/6 |   379.9 |    47.5 |    26.2 |
| 111 |   128 |  10.42 | 4/7 |   325.6 |    40.7 |    26.2 |
| 112 |   128 |  10.42 | 4/8 |   284.9 |    35.6 |    26.2 |
| 113 |   128 |  20.83 | 4/5 |   911.3 |   113.9 |    13.1 |
| 114 |   128 |  20.83 | 4/6 |   759.4 |    94.9 |    13.1 |
| 115 |   128 |  20.83 | 4/7 |   650.9 |    81.4 |    13.1 |
| 116 |   128 |  20.83 | 4/8 |   569.6 |    71.2 |    13.1 |
| 117 |   128 |  41.67 | 4/5 |  1823.1 |   227.9 |     6.6 |
| 118 |   128 |  41.67 | 4/6 |  1519.2 |   189.9 |     6.6 |
| 119 |   128 |  41.67 | 4/7 |  1302.2 |   162.8 |     6.6 |
| 120 |   128 |  41.67 | 4/8 |  1139.4 |   142.4 |     6.6 |
| 121 |   256 |   7.81 | 4/5 |   195.3 |    24.4 |    69.7 |
| 122 |   256 |   7.81 | 4/6 |   162.7 |    20.3 |    69.7 |
| 123 |   256 |   7.81 | 4/7 |   139.5 |    17.4 |    69.7 |
| 124 |   256 |   7.81 | 4/8 |   122.0 |    15.3 |    69.7 |
| 125 |   256 |  15.63 | 4/5 |   390.8 |    48.8 |    34.8 |
| 126 |   256 |  15.63 | 4/6 |   325.6 |    40.7 |    34.8 |
| 127 |   256 |  15.63 | 4/7 |   279.1 |    34.9 |    34.8 |
| 128 |   256 |  15.63 | 4/8 |   244.2 |    30.5 |    34.8 |
| 129 |   256 |  31.25 | 4/5 |   781.3 |    97.7 |    17.4 |
| 130 |   256 |  31.25 | 4/6 |   651.0 |    81.4 |    17.4 |
| 131 |   256 |  31.25 | 4/7 |   558.0 |    69.8 |    17.4 |
| 132 |   256 |  31.25 | 4/8 |   488.3 |    61.0 |    17.4 |
| 133 |   256 |  62.50 | 4/5 |  1562.5 |   195.3 |     8.7 |
| 134 |   256 |  62.50 | 4/6 |  1302.1 |   162.8 |     8.7 |
| 135 |   256 |  62.50 | 4/7 |  1116.1 |   139.5 |     8.7 |
| 136 |   256 |  62.50 | 4/8 |   976.6 |   122.1 |     8.7 |
| 137 |   256 | 125.00 | 4/5 |  3125.0 |   390.6 |     4.4 |
| 138 |   256 | 125.00 | 4/6 |  2604.2 |   325.5 |     4.4 |
| 139 |   256 | 125.00 | 4/7 |  2232.1 |   279.0 |     4.4 |
| 140 |   256 | 125.00 | 4/8 |  1953.1 |   244.1 |     4.4 |
| 141 |   256 | 250.00 | 4/5 |  6250.0 |   781.3 |     2.2 |
| 142 |   256 | 250.00 | 4/6 |  5208.3 |   651.0 |     2.2 |
| 143 |   256 | 250.00 | 4/7 |  4464.3 |   558.0 |     2.2 |
| 144 |   256 | 250.00 | 4/8 |  3906.3 |   488.3 |     2.2 |
| 145 |   256 | 500.00 | 4/5 | 12500.0 |  1562.5 |     1.1 |
| 146 |   256 | 500.00 | 4/6 | 10416.7 |  1302.1 |     1.1 |
| 147 |   256 | 500.00 | 4/7 |  8928.6 |  1116.1 |     1.1 |
| 148 |   256 | 500.00 | 4/8 |  7812.5 |   976.6 |     1.1 |
| 149 |   256 |  10.42 | 4/5 |   260.5 |    32.6 |    52.2 |
| 150 |   256 |  10.42 | 4/6 |   217.1 |    27.1 |    52.2 |
| 151 |   256 |  10.42 | 4/7 |   186.1 |    23.3 |    52.2 |
| 152 |   256 |  10.42 | 4/8 |   162.8 |    20.4 |    52.2 |
| 153 |   256 |  20.83 | 4/5 |   520.8 |    65.1 |    26.1 |
| 154 |   256 |  20.83 | 4/6 |   434.0 |    54.2 |    26.1 |
| 155 |   256 |  20.83 | 4/7 |   372.0 |    46.5 |    26.1 |
| 156 |   256 |  20.83 | 4/8 |   325.5 |    40.7 |    26.1 |
| 157 |   256 |  41.67 | 4/5 |  1041.8 |   130.2 |    13.1 |
| 158 |   256 |  41.67 | 4/6 |   868.1 |   108.5 |    13.1 |
| 159 |   256 |  41.67 | 4/7 |   744.1 |    93.0 |    13.1 |
| 160 |   256 |  41.67 | 4/8 |   651.1 |    81.4 |    13.1 |
| 161 |   512 |   7.81 | 4/5 |   109.8 |    13.7 |   138.9 |
| 162 |   512 |   7.81 | 4/6 |    91.5 |    11.4 |   138.9 |
| 163 |   512 |   7.81 | 4/7 |    78.4 |     9.8 |   138.9 |
| 164 |   512 |   7.81 | 4/8 |    68.6 |     8.6 |   138.9 |
| 165 |   512 |  15.63 | 4/5 |   219.8 |    27.5 |    69.4 |
| 166 |   512 |  15.63 | 4/6 |   183.2 |    22.9 |    69.4 |
| 167 |   512 |  15.63 | 4/7 |   157.0 |    19.6 |    69.4 |
| 168 |   512 |  15.63 | 4/8 |   137.4 |    17.2 |    69.4 |
| 169 |   512 |  31.25 | 4/5 |   439.5 |    54.9 |    34.7 |
| 170 |   512 |  31.25 | 4/6 |   366.2 |    45.8 |    34.7 |
| 171 |   512 |  31.25 | 4/7 |   313.9 |    39.2 |    34.7 |
| 172 |   512 |  31.25 | 4/8 |   274.7 |    34.3 |    34.7 |
| 173 |   512 |  62.50 | 4/5 |   878.9 |   109.9 |    17.4 |
| 174 |   512 |  62.50 | 4/6 |   732.4 |    91.6 |    17.4 |
| 175 |   512 |  62.50 | 4/7 |   627.8 |    78.5 |    17.4 |
| 176 |   512 |  62.50 | 4/8 |   549.3 |    68.7 |    17.4 |
| 177 |   512 | 125.00 | 4/5 |  1757.8 |   219.7 |     8.7 |
| 178 |   512 | 125.00 | 4/6 |  1464.8 |   183.1 |     8.7 |
| 179 |   512 | 125.00 | 4/7 |  1255.6 |   156.9 |     8.7 |
| 180 |   512 | 125.00 | 4/8 |  1098.6 |   137.3 |     8.7 |
| 181 |   512 | 250.00 | 4/5 |  3515.6 |   439.5 |     4.3 |
| 182 |   512 | 250.00 | 4/6 |  2929.7 |   366.2 |     4.3 |
| 183 |   512 | 250.00 | 4/7 |  2511.2 |   313.9 |     4.3 |
| 184 |   512 | 250.00 | 4/8 |  2197.3 |   274.7 |     4.3 |
| 185 |   512 | 500.00 | 4/5 |  7031.3 |   878.9 |     2.2 |
| 186 |   512 | 500.00 | 4/6 |  5859.4 |   732.4 |     2.2 |
| 187 |   512 | 500.00 | 4/7 |  5022.3 |   627.8 |     2.2 |
| 188 |   512 | 500.00 | 4/8 |  4394.5 |   549.3 |     2.2 |
| 189 |   512 |  10.42 | 4/5 |   146.5 |    18.3 |   104.1 |
| 190 |   512 |  10.42 | 4/6 |   122.1 |    15.3 |   104.1 |
| 191 |   512 |  10.42 | 4/7 |   104.7 |    13.1 |   104.1 |
| 192 |   512 |  10.42 | 4/8 |    91.6 |    11.4 |   104.1 |
| 193 |   512 |  20.83 | 4/5 |   292.9 |    36.6 |    52.1 |
| 194 |   512 |  20.83 | 4/6 |   244.1 |    30.5 |    52.1 |
| 195 |   512 |  20.83 | 4/7 |   209.2 |    26.2 |    52.1 |
| 196 |   512 |  20.83 | 4/8 |   183.1 |    22.9 |    52.1 |
| 197 |   512 |  41.67 | 4/5 |   586.0 |    73.2 |    26.0 |
| 198 |   512 |  41.67 | 4/6 |   488.3 |    61.0 |    26.0 |
| 199 |   512 |  41.67 | 4/7 |   418.6 |    52.3 |    26.0 |
| 200 |   512 |  41.67 | 4/8 |   366.2 |    45.8 |    26.0 |
| 201 |  1024 |   7.81 | 4/5 |    61.0 |     7.6 |   276.9 |
| 202 |  1024 |   7.81 | 4/6 |    50.8 |     6.4 |   276.9 |
| 203 |  1024 |   7.81 | 4/7 |    43.6 |     5.4 |   276.9 |
| 204 |  1024 |   7.81 | 4/8 |    38.1 |     4.8 |   276.9 |
| 205 |  1024 |  15.63 | 4/5 |   122.1 |    15.3 |   138.4 |
| 206 |  1024 |  15.63 | 4/6 |   101.8 |    12.7 |   138.4 |
| 207 |  1024 |  15.63 | 4/7 |    87.2 |    10.9 |   138.4 |
| 208 |  1024 |  15.63 | 4/8 |    76.3 |     9.5 |   138.4 |
| 209 |  1024 |  31.25 | 4/5 |   244.1 |    30.5 |    69.2 |
| 210 |  1024 |  31.25 | 4/6 |   203.5 |    25.4 |    69.2 |
| 211 |  1024 |  31.25 | 4/7 |   174.4 |    21.8 |    69.2 |
| 212 |  1024 |  31.25 | 4/8 |   152.6 |    19.1 |    69.2 |
| 213 |  1024 |  62.50 | 4/5 |   488.3 |    61.0 |    34.6 |
| 214 |  1024 |  62.50 | 4/6 |   406.9 |    50.9 |    34.6 |
| 215 |  1024 |  62.50 | 4/7 |   348.8 |    43.6 |    34.6 |
| 216 |  1024 |  62.50 | 4/8 |   305.2 |    38.1 |    34.6 |
| 217 |  1024 | 125.00 | 4/5 |   976.6 |   122.1 |    17.3 |
| 218 |  1024 | 125.00 | 4/6 |   813.8 |   101.7 |    17.3 |
| 219 |  1024 | 125.00 | 4/7 |   697.5 |    87.2 |    17.3 |
| 220 |  1024 | 125.00 | 4/8 |   610.4 |    76.3 |    17.3 |
| 221 |  1024 | 250.00 | 4/5 |  1953.1 |   244.1 |     8.7 |
| 222 |  1024 | 250.00 | 4/6 |  1627.6 |   203.5 |     8.7 |
| 223 |  1024 | 250.00 | 4/7 |  1395.1 |   174.4 |     8.7 |
| 224 |  1024 | 250.00 | 4/8 |  1220.7 |   152.6 |     8.7 |
| 225 |  1024 | 500.00 | 4/5 |  3906.3 |   488.3 |     4.3 |
| 226 |  1024 | 500.00 | 4/6 |  3255.2 |   406.9 |     4.3 |
| 227 |  1024 | 500.00 | 4/7 |  2790.2 |   348.8 |     4.3 |
| 228 |  1024 | 500.00 | 4/8 |  2441.4 |   305.2 |     4.3 |
| 229 |  1024 |  10.42 | 4/5 |    81.4 |    10.2 |   207.6 |
| 230 |  1024 |  10.42 | 4/6 |    67.8 |     8.5 |   207.6 |
| 231 |  1024 |  10.42 | 4/7 |    58.1 |     7.3 |   207.6 |
| 232 |  1024 |  10.42 | 4/8 |    50.9 |     6.4 |   207.6 |
| 233 |  1024 |  20.83 | 4/5 |   162.7 |    20.3 |   103.8 |
| 234 |  1024 |  20.83 | 4/6 |   135.6 |    17.0 |   103.8 |
| 235 |  1024 |  20.83 | 4/7 |   116.2 |    14.5 |   103.8 |
| 236 |  1024 |  20.83 | 4/8 |   101.7 |    12.7 |   103.8 |
| 237 |  1024 |  41.67 | 4/5 |   325.5 |    40.7 |    51.9 |
| 238 |  1024 |  41.67 | 4/6 |   271.3 |    33.9 |    51.9 |
| 239 |  1024 |  41.67 | 4/7 |   232.5 |    29.1 |    51.9 |
| 240 |  1024 |  41.67 | 4/8 |   203.5 |    25.4 |    51.9 |
| 241 |  2048 |   7.81 | 4/5 |    33.6 |     4.2 |   552.6 |
| 242 |  2048 |   7.81 | 4/6 |    28.0 |     3.5 |   552.6 |
| 243 |  2048 |   7.81 | 4/7 |    24.0 |     3.0 |   552.6 |
| 244 |  2048 |   7.81 | 4/8 |    21.0 |     2.6 |   552.6 |
| 245 |  2048 |  15.63 | 4/5 |    67.2 |     8.4 |   276.1 |
| 246 |  2048 |  15.63 | 4/6 |    56.0 |     7.0 |   276.1 |
| 247 |  2048 |  15.63 | 4/7 |    48.0 |     6.0 |   276.1 |
| 248 |  2048 |  15.63 | 4/8 |    42.0 |     5.2 |   276.1 |
| 249 |  2048 |  31.25 | 4/5 |   134.3 |    16.8 |   138.1 |
| 250 |  2048 |  31.25 | 4/6 |   111.9 |    14.0 |   138.1 |
| 251 |  2048 |  31.25 | 4/7 |    95.9 |    12.0 |   138.1 |
| 252 |  2048 |  31.25 | 4/8 |    83.9 |    10.5 |   138.1 |
| 253 |  2048 |  62.50 | 4/5 |   268.6 |    33.6 |    69.1 |
| 254 |  2048 |  62.50 | 4/6 |   223.8 |    28.0 |    69.1 |
| 255 |  2048 |  62.50 | 4/7 |   191.8 |    24.0 |    69.1 |
| 256 |  2048 |  62.50 | 4/8 |   167.8 |    21.0 |    69.1 |
| 257 |  2048 | 125.00 | 4/5 |   537.1 |    67.1 |    34.5 |
| 258 |  2048 | 125.00 | 4/6 |   447.6 |    55.9 |    34.5 |
| 259 |  2048 | 125.00 | 4/7 |   383.6 |    48.0 |    34.5 |
| 260 |  2048 | 125.00 | 4/8 |   335.7 |    42.0 |    34.5 |
| 261 |  2048 | 250.00 | 4/5 |  1074.2 |   134.3 |    17.3 |
| 262 |  2048 | 250.00 | 4/6 |   895.2 |   111.9 |    17.3 |
| 263 |  2048 | 250.00 | 4/7 |   767.3 |    95.9 |    17.3 |
| 264 |  2048 | 250.00 | 4/8 |   671.4 |    83.9 |    17.3 |
| 265 |  2048 | 500.00 | 4/5 |  2148.4 |   268.6 |     8.6 |
| 266 |  2048 | 500.00 | 4/6 |  1790.4 |   223.8 |     8.6 |
| 267 |  2048 | 500.00 | 4/7 |  1534.6 |   191.8 |     8.6 |
| 268 |  2048 | 500.00 | 4/8 |  1342.8 |   167.8 |     8.6 |
| 269 |  2048 |  10.42 | 4/5 |    44.8 |     5.6 |   414.2 |
| 270 |  2048 |  10.42 | 4/6 |    37.3 |     4.7 |   414.2 |
| 271 |  2048 |  10.42 | 4/7 |    32.0 |     4.0 |   414.2 |
| 272 |  2048 |  10.42 | 4/8 |    28.0 |     3.5 |   414.2 |
| 273 |  2048 |  20.83 | 4/5 |    89.5 |    11.2 |   207.2 |
| 274 |  2048 |  20.83 | 4/6 |    74.6 |     9.3 |   207.2 |
| 275 |  2048 |  20.83 | 4/7 |    63.9 |     8.0 |   207.2 |
| 276 |  2048 |  20.83 | 4/8 |    55.9 |     7.0 |   207.2 |
| 277 |  2048 |  41.67 | 4/5 |   179.1 |    22.4 |   103.6 |
| 278 |  2048 |  41.67 | 4/6 |   149.2 |    18.7 |   103.6 |
| 279 |  2048 |  41.67 | 4/7 |   127.9 |    16.0 |   103.6 |
| 280 |  2048 |  41.67 | 4/8 |   111.9 |    14.0 |   103.6 |
| 281 |  4096 |   7.81 | 4/5 |    18.3 |     2.3 |  1103.1 |
| 282 |  4096 |   7.81 | 4/6 |    15.3 |     1.9 |  1103.1 |
| 283 |  4096 |   7.81 | 4/7 |    13.1 |     1.6 |  1103.1 |
| 284 |  4096 |   7.81 | 4/8 |    11.4 |     1.4 |  1103.1 |
| 285 |  4096 |  15.63 | 4/5 |    36.6 |     4.6 |   551.2 |
| 286 |  4096 |  15.63 | 4/6 |    30.5 |     3.8 |   551.2 |
| 287 |  4096 |  15.63 | 4/7 |    26.2 |     3.3 |   551.2 |
| 288 |  4096 |  15.63 | 4/8 |    22.9 |     2.9 |   551.2 |
| 289 |  4096 |  31.25 | 4/5 |    73.2 |     9.2 |   275.7 |
| 290 |  4096 |  31.25 | 4/6 |    61.0 |     7.6 |   275.7 |
| 291 |  4096 |  31.25 | 4/7 |    52.3 |     6.5 |   275.7 |
| 292 |  4096 |  31.25 | 4/8 |    45.8 |     5.7 |   275.7 |
| 293 |  4096 |  62.50 | 4/5 |   146.5 |    18.3 |   137.8 |
| 294 |  4096 |  62.50 | 4/6 |   122.1 |    15.3 |   137.8 |
| 295 |  4096 |  62.50 | 4/7 |   104.6 |    13.1 |   137.8 |
| 296 |  4096 |  62.50 | 4/8 |    91.6 |    11.4 |   137.8 |
| 297 |  4096 | 125.00 | 4/5 |   293.0 |    36.6 |    68.9 |
| 298 |  4096 | 125.00 | 4/6 |   244.1 |    30.5 |    68.9 |
| 299 |  4096 | 125.00 | 4/7 |   209.3 |    26.2 |    68.9 |
| 300 |  4096 | 125.00 | 4/8 |   183.1 |    22.9 |    68.9 |
| 301 |  4096 | 250.00 | 4/5 |   585.9 |    73.2 |    34.5 |
| 302 |  4096 | 250.00 | 4/6 |   488.3 |    61.0 |    34.5 |
| 303 |  4096 | 250.00 | 4/7 |   418.5 |    52.3 |    34.5 |
| 304 |  4096 | 250.00 | 4/8 |   366.2 |    45.8 |    34.5 |
| 305 |  4096 | 500.00 | 4/5 |  1171.9 |   146.5 |    17.2 |
| 306 |  4096 | 500.00 | 4/6 |   976.6 |   122.1 |    17.2 |
| 307 |  4096 | 500.00 | 4/7 |   837.1 |   104.6 |    17.2 |
| 308 |  4096 | 500.00 | 4/8 |   732.4 |    91.6 |    17.2 |
| 309 |  4096 |  10.42 | 4/5 |    24.4 |     3.1 |   826.8 |
| 310 |  4096 |  10.42 | 4/6 |    20.4 |     2.5 |   826.8 |
| 311 |  4096 |  10.42 | 4/7 |    17.4 |     2.2 |   826.8 |
| 312 |  4096 |  10.42 | 4/8 |    15.3 |     1.9 |   826.8 |
| 313 |  4096 |  20.83 | 4/5 |    48.8 |     6.1 |   413.6 |
| 314 |  4096 |  20.83 | 4/6 |    40.7 |     5.1 |   413.6 |
| 315 |  4096 |  20.83 | 4/7 |    34.9 |     4.4 |   413.6 |
| 316 |  4096 |  20.83 | 4/8 |    30.5 |     3.8 |   413.6 |
| 317 |  4096 |  41.67 | 4/5 |    97.7 |    12.2 |   206.7 |
| 318 |  4096 |  41.67 | 4/6 |    81.4 |    10.2 |   206.7 |
| 319 |  4096 |  41.67 | 4/7 |    69.8 |     8.7 |   206.7 |
| 320 |  4096 |  41.67 | 4/8 |    61.0 |     7.6 |   206.7 |
+-----+-------+--------+-----+---------+---------+---------+
